,stationID,name,latitude,longitude
0,459,W 20 St & 11 Ave,40.746745,-74.007756
1,293,Lafayette St & E 8 St,40.73028666,-73.9907647
3,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
4,128,MacDougal St & Prince St,40.72710258,-74.00297088
13,347,Greenwich St & W Houston St,40.728846,-74.00859100000002
14,527,E 33 St & 2 Ave,40.744023,-73.976056
16,453,W 22 St & 8 Ave,40.74475148,-73.99915362
17,490,8 Ave & W 33 St,40.751551,-73.993934
19,237,E 11 St & 2 Ave,40.73047309,-73.98672378
20,127,Barrow St & Hudson St,40.73172428,-74.00674436
21,410,Suffolk St & Stanton St,40.72066442,-73.98517977
23,511,E 14 St & Avenue B,40.72938685,-73.97772429
31,514,12 Ave & W 40 St,40.76087502,-74.00277668
33,434,9 Ave & W 18 St,40.74317449,-74.00366443
35,334,W 20 St & 7 Ave,40.74238787,-73.99726235
36,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
38,348,W Broadway & Spring St,40.72490985,-74.00154702
39,458,11 Ave & W 27 St,40.751396,-74.00522600000002
40,545,E 23 St & 1 Ave,40.736502,-73.97809472
41,483,E 12 St & 3 Ave,40.73223272,-73.98889957
48,486,Broadway & W 29 St,40.7462009,-73.98855723
50,312,Allen St & Stanton St,40.722055,-73.989111
52,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135
53,368,Carmine St & 6 Ave,40.73038599,-74.00214988
54,426,West St & Chambers St,40.71754834,-74.01322069
63,326,E 11 St & 1 Ave,40.72953837,-73.98426726
64,499,Broadway & W 60 St,40.76915505,-73.98191841
70,380,W 4 St & 7 Ave S,40.73401143,-74.00293877
74,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234
80,494,W 26 St & 8 Ave,40.74734825,-73.99723551
84,518,E 39 St & 2 Ave,40.74780373,-73.97344190000003
85,285,Broadway & E 14 St,40.73454567,-73.99074142
93,504,1 Ave & E 16 St,40.73221853,-73.98165557
94,116,W 17 St & 8 Ave,40.74177603,-74.00149746
97,401,Allen St & Rivington St,40.72019576,-73.98997825
101,402,Broadway & E 22 St,40.74034320000001,-73.98955109
107,474,5 Ave & E 29 St,40.7451677,-73.98683077
108,445,E 10 St & Avenue A,40.72740794,-73.98142006
110,507,E 25 St & 2 Ave,40.73912601,-73.97973776
113,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505
118,461,E 20 St & 2 Ave,40.73587678,-73.98205027
119,457,Broadway & W 58 St,40.76695317,-73.98169333
121,439,E 4 St & 2 Ave,40.7262807,-73.98978041
123,250,Lafayette St & Jersey St N,40.72456089,-73.99565293
125,394,E 9 St & Avenue C,40.72521311,-73.97768752
126,225,W 14 St & The High Line,40.74195138,-74.00803013
128,3141,1 Ave & E 68 St,40.76500525,-73.95818491
130,383,Greenwich Ave & Charles St,40.735238,-74.000271
133,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
134,531,Forsyth St & Broome St,40.71893904,-73.99266288
137,307,Canal St & Rutgers St,40.71427487,-73.98990025
139,265,Stanton St & Chrystie St,40.72229346,-73.99147535
140,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
146,346,Bank St & Hudson St,40.73652889,-74.00618026
150,363,West Thames St,40.70834698,-74.01713445
152,487,E 20 St & FDR Drive,40.73314259,-73.97573881
153,301,E 2 St & Avenue B,40.72217444,-73.98368779
157,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
158,482,W 15 St & 7 Ave,40.73935542,-73.99931783
159,509,9 Ave & W 22 St,40.7454973,-74.00197139
162,428,E 3 St & 1 Ave,40.72467721,-73.98783413
166,297,E 15 St & 3 Ave,40.734232,-73.986923
174,3002,South End Ave & Liberty St,40.711512,-74.01575600000002
176,466,W 25 St & 6 Ave,40.74395411,-73.99144871
178,304,Broadway & Battery Pl,40.70463334,-74.01361706
179,251,Mott St & Prince St,40.72317958,-73.99480012
183,168,W 18 St & 6 Ave,40.73971301,-73.99456405
190,212,W 16 St & The High Line,40.74334935,-74.00681753
191,345,W 13 St & 6 Ave,40.73649403,-73.99704374
192,317,E 6 St & Avenue B,40.72453734,-73.98185424
193,358,Christopher St & Greenwich St,40.73291553,-74.00711384
206,519,Pershing Square North,40.751873,-73.97770600000003
211,435,W 21 St & 6 Ave,40.74173969,-73.99415556
215,432,E 7 St & Avenue A,40.72621788,-73.98379855
217,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945
218,505,6 Ave & W 33 St,40.74901271,-73.98848395
245,497,E 17 St & Broadway,40.73704984,-73.99009296
255,523,W 38 St & 8 Ave,40.75466591,-73.99138152
262,361,Allen St & Hester St,40.71605866,-73.99190759
286,536,1 Ave & E 30 St,40.74144387,-73.97536082
296,382,University Pl & E 14 St,40.73492695,-73.99200509
298,327,Vesey Pl & River Terrace,40.7153379,-74.01658354
301,472,E 32 St & Park Ave,40.74571210000001,-73.98194829
307,229,Great Jones St,40.72743423,-73.99379025
310,462,W 22 St & 10 Ave,40.74691959,-74.00451887
314,147,Greenwich St & Warren St,40.71542197,-74.01121978
317,388,W 26 St & 10 Ave,40.749717753,-74.002950346
322,2008,Little West St & 1 Pl,40.70569254,-74.01677685
332,537,Lexington Ave & E 24 St,40.74025878,-73.98409214
372,444,Broadway & W 24 St,40.7423543,-73.98915076
393,496,E 16 St & 5 Ave,40.73726186,-73.99238967
